iter	Passed	Remaining
0	0	97
1	0	87
2	1	73
3	1	65
4	1	60
5	1	56
6	1	53
7	2	51
8	2	49
9	2	48
10	2	48
11	3	47
12	3	46
13	3	45
14	3	44
15	3	44
16	4	43
17	4	42
18	4	42
19	4	41
20	4	41
21	5	40
22	5	40
23	5	39
24	5	39
25	5	39
26	6	38
27	6	38
28	6	38
29	6	37
30	6	37
31	7	36
32	7	36
33	7	36
34	7	36
35	7	35
36	8	35
37	8	35
38	8	34
39	8	34
40	8	34
41	9	33
42	9	33
43	9	33
44	9	33
45	9	33
46	10	32
47	10	32
48	11	34
49	11	33
50	11	33
51	11	33
52	11	33
53	12	32
54	12	32
55	12	32
56	12	31
57	12	31
58	13	31
59	13	31
60	13	30
61	13	30
62	14	30
63	14	30
64	14	30
65	14	30
66	15	29
67	15	29
68	15	29
69	15	29
70	16	29
71	16	29
72	16	28
73	16	28
74	17	28
75	17	28
76	17	27
77	17	27
78	17	27
79	18	27
80	18	26
81	18	26
82	18	26
83	18	26
84	19	25
85	19	25
86	19	25
87	19	25
88	19	24
89	20	24
90	20	24
91	20	24
92	20	23
93	20	23
94	21	23
95	21	23
96	21	22
97	21	22
98	21	22
99	22	22
100	22	21
101	22	21
102	22	21
103	22	21
104	23	20
105	23	20
106	23	20
107	23	20
108	23	19
109	24	19
110	24	19
111	24	19
112	24	18
113	24	18
114	25	18
115	25	18
116	25	18
117	25	17
118	25	17
119	26	17
120	26	17
121	26	16
122	26	16
123	26	16
124	27	16
125	27	16
126	27	15
127	27	15
128	28	15
129	28	15
130	28	14
131	28	14
132	28	14
133	29	14
134	29	14
135	29	13
136	29	13
137	30	13
138	30	13
139	30	13
140	30	12
141	31	12
142	31	12
143	31	12
144	31	12
145	31	11
146	32	11
147	32	11
148	32	11
149	32	10
150	32	10
151	33	10
152	33	10
153	33	10
154	33	9
155	33	9
156	34	9
157	34	9
158	34	8
159	34	8
160	34	8
161	35	8
162	35	8
163	35	7
164	35	7
165	35	7
166	36	7
167	36	6
168	36	6
169	36	6
170	36	6
171	37	6
172	37	5
173	37	5
174	37	5
175	38	5
176	38	4
177	38	4
178	38	4
179	38	4
180	39	4
181	39	3
182	39	3
183	39	3
184	39	3
185	40	3
186	40	2
187	40	2
188	40	2
189	40	2
190	41	1
191	41	1
192	41	1
193	41	1
194	41	1
195	41	0
196	42	0
197	42	0
198	42	0
199	42	0
