iter	Passed	Remaining
0	1	205
1	1	126
2	1	102
3	1	87
4	2	78
5	2	72
6	2	68
7	2	65
8	2	63
9	3	61
10	3	59
11	3	57
12	3	56
13	4	55
14	4	55
15	4	54
16	4	53
17	5	52
18	5	52
19	5	51
20	6	51
21	6	50
22	6	49
23	6	49
24	6	48
25	7	47
26	7	47
27	7	47
28	7	46
29	8	46
30	8	45
31	8	45
32	8	44
33	9	44
34	9	43
35	9	43
36	9	43
37	10	42
38	10	42
39	10	41
40	10	41
41	10	41
42	11	41
43	11	40
44	11	40
45	11	39
46	12	39
47	12	39
48	12	38
49	12	38
50	13	38
51	13	37
52	13	37
53	13	37
54	14	36
55	14	36
56	14	36
57	14	36
58	15	35
59	15	35
60	15	35
61	15	35
62	16	34
63	16	34
64	16	34
65	16	34
66	16	33
67	17	33
68	17	33
69	17	32
70	17	32
71	18	32
72	18	31
73	18	31
74	18	31
75	19	31
76	19	30
77	19	30
78	19	30
79	20	30
80	20	29
81	20	29
82	20	29
83	21	29
84	21	28
85	21	28
86	21	28
87	22	28
88	22	27
89	22	27
90	22	27
91	23	27
92	23	26
93	23	26
94	23	26
95	24	26
96	24	25
97	24	25
98	24	25
99	25	25
100	25	24
101	25	24
102	25	24
103	26	24
104	26	23
105	26	23
106	26	23
107	26	22
108	27	22
109	27	22
110	27	22
111	27	21
112	28	21
113	28	21
114	28	21
115	28	20
116	29	20
117	29	20
118	29	20
119	30	20
120	30	19
121	30	19
122	30	19
123	30	18
124	31	18
125	31	18
126	31	18
127	31	17
128	32	17
129	32	17
130	32	17
131	33	17
132	33	16
133	33	16
134	33	16
135	33	15
136	34	15
137	34	15
138	34	15
139	34	14
140	35	14
141	35	14
142	35	14
143	35	13
144	36	13
145	36	13
146	36	13
147	36	12
148	37	12
149	37	12
150	37	12
151	37	11
152	38	11
153	38	11
154	38	11
155	38	10
156	38	10
157	39	10
158	39	10
159	39	9
160	39	9
161	40	9
162	40	9
163	40	8
164	40	8
165	41	8
166	41	8
167	41	7
168	41	7
169	42	7
170	42	7
171	42	6
172	42	6
173	42	6
174	43	6
175	43	5
176	43	5
177	44	5
178	44	5
179	44	4
180	44	4
181	45	4
182	45	4
183	45	3
184	45	3
185	45	3
186	46	3
187	46	2
188	46	2
189	46	2
190	47	2
191	47	1
192	47	1
193	47	1
194	48	1
195	48	0
196	48	0
197	48	0
198	49	0
199	49	0
